date,team1,team2,location,group,ko_round,team1_score,team2_score,shootout_winner
2024-06-14,Germany,Scotland,Germany,A,NA,5,1,NA
2024-06-15,Hungary,Switzerland,Germany,A,NA,1,3,NA
2024-06-15,Spain,Croatia,Germany,B,NA,3,0,NA
2024-06-15,Italy,Albania,Germany,B,NA,2,1,NA
2024-06-16,Slovenia,Denmark,Germany,C,NA,1,1,NA
2024-06-16,Serbia,England,Germany,C,NA,0,1,NA
2024-06-16,Poland,Netherlands,Germany,D,NA,1,2,NA
2024-06-17,Austria,France,Germany,D,NA,0,1,NA
2024-06-17,Romania,Ukraine,Germany,E,NA,3,0,NA
2024-06-17,Belgium,Slovakia,Germany,E,NA,0,1,NA
2024-06-18,Turkey,Georgia,Germany,F,NA,3,1,NA
2024-06-18,Portugal,Czechia,Germany,F,NA,2,1,NA
2024-06-19,Germany,Hungary,Germany,A,NA,NA,NA,NA
2024-06-19,Scotland,Switzerland,Germany,A,NA,NA,NA,NA
2024-06-19,Croatia,Albania,Germany,B,NA,NA,NA,NA
2024-06-20,Spain,Italy,Germany,B,NA,NA,NA,NA
2024-06-20,Slovenia,Serbia,Germany,C,NA,NA,NA,NA
2024-06-20,Denmark,England,Germany,C,NA,NA,NA,NA
2024-06-21,Poland,Austria,Germany,D,NA,NA,NA,NA
2024-06-21,Netherlands,France,Germany,D,NA,NA,NA,NA
2024-06-21,Slovakia,Ukraine,Germany,E,NA,NA,NA,NA
2024-06-22,Belgium,Romania,Germany,E,NA,NA,NA,NA
2024-06-22,Georgia,Czechia,Germany,F,NA,NA,NA,NA
2024-06-22,Turkey,Portugal,Germany,F,NA,NA,NA,NA
2024-06-23,Germany,Switzerland,Germany,A,NA,NA,NA,NA
2024-06-23,Scotland,Hungary,Germany,A,NA,NA,NA,NA
2024-06-24,Albania,Spain,Germany,B,NA,NA,NA,NA
2024-06-24,Croatia,Italy,Germany,B,NA,NA,NA,NA
2024-06-25,England,Slovenia,Germany,C,NA,NA,NA,NA
2024-06-25,Denmark,Serbia,Germany,C,NA,NA,NA,NA
2024-06-25,Netherlands,Austria,Germany,D,NA,NA,NA,NA
2024-06-25,France,Poland,Germany,D,NA,NA,NA,NA
2024-06-26,Slovakia,Romania,Germany,E,NA,NA,NA,NA
2024-06-26,Ukraine,Belgium,Germany,E,NA,NA,NA,NA
2024-06-26,Georgia,Portugal,Germany,F,NA,NA,NA,NA
2024-06-26,Czechia,Turkey,Germany,F,NA,NA,NA,NA
2024-06-29,NA,NA,Germany,NA,R16,NA,NA,NA
2024-06-29,NA,NA,Germany,NA,R16,NA,NA,NA
2024-06-30,NA,NA,Germany,NA,R16,NA,NA,NA
2024-06-30,NA,NA,Germany,NA,R16,NA,NA,NA
2024-07-01,NA,NA,Germany,NA,R16,NA,NA,NA
2024-07-01,NA,NA,Germany,NA,R16,NA,NA,NA
2024-07-02,NA,NA,Germany,NA,R16,NA,NA,NA
2024-07-02,NA,NA,Germany,NA,R16,NA,NA,NA
2024-07-05,NA,NA,Germany,NA,QF,NA,NA,NA
2024-07-05,NA,NA,Germany,NA,QF,NA,NA,NA
2024-07-06,NA,NA,Germany,NA,QF,NA,NA,NA
2024-07-06,NA,NA,Germany,NA,QF,NA,NA,NA
2024-07-09,NA,NA,Germany,NA,SF,NA,NA,NA
2024-07-10,NA,NA,Germany,NA,SF,NA,NA,NA
2024-07-14,NA,NA,Germany,NA,FINAL,NA,NA,NA
