date,home_team,away_team,home_score,away_score,tournament,country,neutral
1901-03-02,Wales,Scotland,1,1,British Championship,Wales,False
1901-03-09,England,Ireland,3,0,British Championship,England,False
1901-03-18,England,Wales,6,0,British Championship,England,False
1901-03-23,Ireland,Wales,0,1,British Championship,Ireland,False
1901-03-30,England,Scotland,2,2,British Championship,England,False
1902-02-22,Wales,Ireland,0,3,British Championship,Wales,False
1902-03-01,Ireland,Scotland,1,5,British Championship,Ireland,False
1902-03-03,Wales,England,0,0,British Championship,Wales,False
1902-03-15,Scotland,Wales,5,1,British Championship,Scotland,False
1902-03-22,Ireland,England,0,1,British Championship,Ireland,False
1902-04-05,Scotland,England,1,1,British Championship,Scotland,False
1902-05-03,England,Scotland,2,2,British Championship,England,False
1902-07-20,Uruguay,Argentina,0,6,Friendly,Uruguay,False
1902-08-09,Ireland,Scotland,0,3,Friendly,Ireland,False
1902-10-12,Austria,Hungary,5,0,Friendly,Austria,False
1903-02-14,England,Ireland,4,0,British Championship,England,False
1903-03-02,England,Wales,2,1,British Championship,England,False
1903-03-09,Wales,Scotland,0,1,British Championship,Wales,False
1903-03-21,Scotland,Ireland,0,2,British Championship,Scotland,False
1903-03-28,Ireland,Wales,2,0,British Championship,Ireland,False
1903-04-04,England,Scotland,1,2,British Championship,England,False
1903-04-05,Hungary,Bohemia,2,1,Friendly,Hungary,False
1903-06-11,Hungary,Austria,3,2,Friendly,Hungary,False
1903-09-13,Argentina,Uruguay,2,3,Friendly,Argentina,False
1903-10-11,Austria,Hungary,4,2,Friendly,Austria,False
1904-02-29,Wales,England,2,2,British Championship,Wales,False
1904-03-12,Scotland,Wales,1,1,British Championship,Scotland,False
1904-03-12,Ireland,England,1,3,British Championship,Ireland,False
1904-03-21,Wales,Ireland,0,1,British Championship,Wales,False
1904-03-26,Ireland,Scotland,1,1,British Championship,Ireland,False
1904-04-09,Scotland,England,0,1,British Championship,Scotland,False
1904-05-01,Belgium,France,3,3,Friendly,Belgium,False
1904-06-02,Hungary,Austria,3,0,Friendly,Hungary,False
1904-10-09,Austria,Hungary,5,4,Friendly,Austria,False
1905-02-12,France,Switzerland,1,0,Friendly,France,False
1905-02-25,England,Ireland,1,1,British Championship,England,False
1905-03-06,Wales,Scotland,3,1,British Championship,Wales,False
1905-03-18,Scotland,Ireland,4,0,British Championship,Scotland,False
1905-03-27,England,Wales,3,1,British Championship,England,False
1905-04-01,England,Scotland,1,0,British Championship,England,False
1905-04-08,Ireland,Wales,2,2,British Championship,Ireland,False
1905-04-09,Hungary,Austria,0,0,Friendly,Hungary,False
1905-04-30,Belgium,Netherlands,1,4,Friendly,Belgium,False
1905-05-07,Belgium,France,7,0,Friendly,Belgium,False
1905-05-14,Netherlands,Belgium,4,0,Friendly,Netherlands,False
1905-07-21,British Guiana,Trinidad and Tobago,1,4,Friendly,British Guiana,False
1905-08-15,Argentina,Uruguay,0,0,Lipton Cup,Argentina,False
1906-02-17,Ireland,England,0,5,British Championship,Ireland,False
1906-03-03,Scotland,Wales,0,2,British Championship,Scotland,False
1906-03-17,Ireland,Scotland,0,1,British Championship,Ireland,False
1906-03-19,Wales,England,0,1,British Championship,Wales,False
1906-04-01,Hungary,Bohemia,1,1,Friendly,Hungary,False
1906-04-02,Wales,Ireland,4,4,British Championship,Wales,False
1906-04-07,Scotland,England,2,1,British Championship,Scotland,False
1906-04-22,France,Belgium,0,5,Friendly,France,False
1906-04-29,Belgium,Netherlands,5,0,Friendly,Belgium,False
1906-05-13,Netherlands,Belgium,2,3,Friendly,Netherlands,False
1906-07-09,Argentina,South Africa,0,1,Friendly,Argentina,False
1906-08-15,Uruguay,Argentina,0,2,Lipton Cup,Uruguay,False
1906-10-07,Bohemia,Hungary,4,4,Friendly,Bohemia,False
1906-10-21,Argentina,Uruguay,2,1,Newton Cup,Argentina,False
1906-11-01,France,England,0,15,Friendly,France,False
1906-11-04,Hungary,Austria,3,1,Friendly,Hungary,False
1907-02-16,England,Ireland,1,0,British Championship,England,False
1907-02-23,Ireland,Wales,2,3,British Championship,Ireland,False
1907-03-04,Wales,Scotland,1,0,British Championship,Wales,False
1907-03-16,Scotland,Ireland,3,0,British Championship,Scotland,False
1907-03-18,England,Wales,1,1,British Championship,England,False
1907-04-01,Netherlands,England,1,8,Friendly,Netherlands,False
1907-04-06,England,Scotland,1,1,British Championship,England,False
1907-04-07,Hungary,Bohemia,5,2,Friendly,Hungary,False
1907-04-14,Belgium,Netherlands,1,3,Friendly,Belgium,False
1907-04-21,Belgium,France,1,2,Friendly,Belgium,False
1907-05-05,Austria,Hungary,3,1,Friendly,Austria,False
1907-05-09,Netherlands,Belgium,1,2,Friendly,Netherlands,False
1907-08-15,Argentina,Uruguay,2,1,Lipton Cup,Argentina,False
1907-10-06,Uruguay,Argentina,1,2,Newton Cup,Uruguay,False
1907-10-06,Bohemia,Hungary,5,3,Friendly,Bohemia,False
1907-11-03,Hungary,Austria,4,1,Friendly,Hungary,False
1907-12-21,England,Netherlands,12,2,Friendly,England,False
1908-02-15,Ireland,England,1,3,British Championship,Ireland,False
1908-03-07,Scotland,Wales,2,1,British Championship,Scotland,False
1908-03-08,Switzerland,France,1,2,Friendly,Switzerland,False
1908-03-14,Ireland,Scotland,0,5,British Championship,Ireland,False
1908-03-16,Wales,England,1,7,British Championship,Wales,False
1908-03-23,England,France,12,0,Friendly,England,False
1908-03-29,Belgium,Netherlands,1,4,Friendly,Belgium,False
1908-04-04,Scotland,England,1,1,British Championship,Scotland,False
1908-04-05,Hungary,Bohemia,5,2,Friendly,Hungary,False
1908-04-05,Switzerland,Germany,5,3,Friendly,Switzerland,False
1908-04-11,Wales,Ireland,0,1,British Championship,Wales,False
1908-04-12,France,Belgium,1,2,Friendly,France,False
1908-04-18,Belgium,England,2,8,Friendly,Belgium,False
1908-04-20,Germany,England,1,5,Friendly,Germany,False
1908-04-26,Netherlands,Belgium,3,1,Friendly,Netherlands,False
1908-05-03,Austria,Hungary,4,0,Friendly,Austria,False
1908-05-10,Netherlands,France,4,1,Friendly,Netherlands,False
1908-06-06,Austria,England,1,6,Friendly,Austria,False
1908-06-07,Austria,Germany,3,2,Friendly,Austria,False
1908-06-08,Austria,England,1,11,Friendly,Austria,False
1908-06-10,Hungary,England,0,7,Friendly,Hungary,False
1908-06-13,Bohemia,England,0,4,Friendly,Bohemia,False
1908-07-12,Sweden,Norway,11,3,Friendly,Sweden,False
1908-08-15,Uruguay,Argentina,2,2,Lipton Cup,Uruguay,False
1908-09-08,Sweden,England,1,6,Friendly,Sweden,False
1908-09-13,Argentina,Uruguay,2,1,Newton Cup,Argentina,False
1908-10-04,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,False
1908-10-19,Denmark,France,9,0,Olympic Games,England,True
1908-10-20,England,Sweden,12,1,Olympic Games,England,False
1908-10-22,England,Netherlands,4,0,Olympic Games,England,False
1908-10-22,Denmark,France,17,1,Olympic Games,England,True
1908-10-23,Netherlands,Sweden,2,0,Olympic Games,England,True
1908-10-24,England,Denmark,2,0,Olympic Games,England,False
1908-10-25,Netherlands,Sweden,5,3,Friendly,Netherlands,False
1908-10-26,Belgium,Sweden,2,1,Friendly,Belgium,False
1908-11-01,Hungary,Austria,5,3,Friendly,Hungary,False
1909-02-13,England,Ireland,4,0,British Championship,England,False
1909-03-01,Wales,Scotland,3,2,British Championship,Wales,False
1909-03-13,England,Germany,9,0,Friendly,England,False
1909-03-15,Scotland,Ireland,5,0,British Championship,Scotland,False
1909-03-15,England,Wales,2,0,British Championship,England,False
1909-03-20,Ireland,Wales,2,3,British Championship,Ireland,False
1909-03-21,Belgium,Netherlands,1,4,Friendly,Belgium,False
1909-04-03,England,Scotland,2,0,British Championship,England,False
1909-04-04,Hungary,Germany,3,3,Friendly,Hungary,False
1909-04-04,Germany,Switzerland,1,0,Friendly,Germany,False
1909-04-12,Netherlands,England,0,4,Friendly,Netherlands,False
1909-04-19,England,Belgium,11,2,Friendly,England,False
1909-04-25,Netherlands,Belgium,4,1,Friendly,Netherlands,False
1909-05-02,Austria,Hungary,3,4,Friendly,Austria,False
1909-05-09,Belgium,France,5,2,Friendly,Belgium,False
1909-05-20,Switzerland,England,0,9,Friendly,Switzerland,False
1909-05-22,France,England,0,11,Friendly,France,False
1909-05-29,Hungary,England,2,4,Friendly,Hungary,False
1909-05-30,Hungary,Austria,1,1,Friendly,Hungary,False
1909-05-31,Hungary,England,2,8,Friendly,Hungary,False
1909-06-01,Austria,England,1,8,Friendly,Austria,False
1909-08-15,Argentina,Uruguay,2,1,Lipton Cup,Argentina,False
1909-09-19,Uruguay,Argentina,2,2,Newton Cup,Uruguay,False
1909-10-10,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Argentina,False
1909-11-06,England,Sweden,7,0,Friendly,England,False
1909-11-07,Hungary,Austria,2,2,Friendly,Hungary,False
1909-12-11,England,Netherlands,9,1,Friendly,England,False
1910-02-12,Ireland,England,1,1,British Championship,Ireland,False
1910-03-05,Scotland,Wales,1,0,British Championship,Scotland,False
1910-03-13,Belgium,Netherlands,3,2,Friendly,Belgium,False
1910-03-14,Wales,England,0,1,British Championship,Wales,False
1910-03-19,Ireland,Scotland,1,0,British Championship,Ireland,False
1910-03-26,Belgium,England,2,2,Friendly,Belgium,False
1910-04-02,Scotland,England,2,0,British Championship,Scotland,False
1910-04-03,France,Belgium,0,4,Friendly,France,False
1910-04-03,Switzerland,Germany,2,3,Friendly,Switzerland,False
1910-04-09,England,Switzerland,6,1,Friendly,England,False
1910-04-10,Netherlands,Belgium,7,0,Friendly,Netherlands,False
1910-04-11,Wales,Ireland,4,1,British Championship,Wales,False
1910-04-16,England,France,10,1,Friendly,England,False
1910-04-24,Netherlands,Germany,4,2,Friendly,Netherlands,False
1910-05-01,Austria,Hungary,2,1,Friendly,Austria,False
1910-05-05,Denmark,England,2,1,Friendly,Denmark,False
1910-05-15,Italy,France,6,2,Friendly,Italy,False
1910-05-16,Germany,Belgium,0,3,Friendly,Germany,False
1910-05-26,Hungary,Italy,6,1,Friendly,Hungary,False
1910-05-27,Argentina,Chile,3,1,Friendly,Argentina,False
1910-05-29,Uruguay,Chile,3,0,Copa Cent Rev Mayo,Argentina,True
1910-06-05,Argentina,Chile,5,1,Copa Cent Rev Mayo,Argentina,False
1910-06-12,Argentina,Uruguay,4,1,Copa Cent Rev Mayo,Argentina,False
1910-06-29,South Africa,England,0,3,Friendly,South Africa,False
1910-07-23,South Africa,England,2,6,Friendly,South Africa,False
1910-07-30,South Africa,England,3,6,Friendly,South Africa,False
1910-08-15,Uruguay,Argentina,3,1,Lipton Cup,Uruguay,False
1910-09-11,Chile,Argentina,0,3,Friendly,Chile,False
1910-09-11,Norway,Sweden,0,4,Friendly,Norway,False
1910-10-16,Germany,Netherlands,1,2,Friendly,Germany,False
1910-11-06,Hungary,Austria,3,0,Friendly,Hungary,False
1910-11-13,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Argentina,False
1910-11-27,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Argentina,False
1911-01-01,France,Hungary,0,3,Friendly,France,False
1911-01-06,Italy,Hungary,0,1,Friendly,Italy,False
1911-01-08,Switzerland,Hungary,2,0,Friendly,Switzerland,False
1911-01-28,Ireland,Wales,1,2,British Championship,Ireland,False
1911-02-11,England,Ireland,2,1,British Championship,England,False
1911-03-04,England,Belgium,4,0,Friendly,England,False
1911-03-06,Wales,Scotland,2,2,British Championship,Wales,False
1911-03-13,England,Wales,3,0,British Championship,England,False
1911-03-18,Scotland,Ireland,2,0,British Championship,Scotland,False
1911-03-19,Belgium,Netherlands,1,5,Friendly,Belgium,False
1911-03-23,France,England,0,3,Friendly,France,False
1911-03-26,Germany,Switzerland,6,2,Friendly,Germany,False
1911-04-01,England,Scotland,1,1,British Championship,England,False
1911-04-02,Netherlands,Belgium,3,1,Friendly,Netherlands,False
1911-04-09,France,Italy,2,2,Friendly,France,False
1911-04-14,Germany,England,2,2,Friendly,Germany,False
1911-04-17,Netherlands,England,0,1,Friendly,Netherlands,False
1911-04-23,Belgium,Germany,2,1,Friendly,Belgium,False
1911-04-23,Switzerland,France,5,2,Friendly,Switzerland,False
1911-04-30,Uruguay,Argentina,1,2,Friendly,Uruguay,False
1911-04-30,Belgium,France,7,1,Friendly,Belgium,False
1911-05-07,Austria,Hungary,3,1,Friendly,Austria,False
1911-05-07,Italy,Switzerland,2,2,Friendly,Italy,False
1911-05-21,Switzerland,Italy,3,0,Friendly,Switzerland,False
1911-05-25,Switzerland,England,1,4,Friendly,Switzerland,False
1911-06-18,Sweden,Germany,2,4,Friendly,Sweden,False
1911-08-15,Argentina,Uruguay,0,2,Lipton Cup,Argentina,False
1911-09-10,Germany,Austria,1,2,Friendly,Germany,False
1911-09-17,Uruguay,Argentina,2,3,Newton Cup,Uruguay,False
1911-09-17,Sweden,Norway,4,1,Friendly,Sweden,False
1911-10-08,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Uruguay,False
1911-10-21,England,Denmark,3,0,Friendly,England,False
1911-10-22,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Argentina,False
1911-10-22,Finland,Sweden,2,5,Friendly,Finland,False
1911-10-29,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,False
1911-10-29,Hungary,Switzerland,9,0,Friendly,Hungary,False
1911-10-29,Luxembourg,France,1,4,Friendly,Luxembourg,False
1911-10-29,Germany,Sweden,1,3,Friendly,Germany,False
1911-11-05,Hungary,Austria,2,0,Friendly,Hungary,False
1911-12-17,Germany,Hungary,1,4,Friendly,Germany,False
1912-01-28,France,Belgium,1,1,Friendly,France,False
1912-02-10,Ireland,England,1,6,British Championship,Ireland,False
1912-02-18,France,Switzerland,4,1,Friendly,France,False
1912-02-20,Belgium,Switzerland,9,2,Friendly,Belgium,False
1912-02-25,Argentina,Uruguay,2,0,Friendly,Argentina,False
1912-03-02,Scotland,Wales,1,0,British Championship,Scotland,False
1912-03-10,Belgium,Netherlands,1,2,Friendly,Belgium,False
1912-03-11,Wales,England,0,2,British Championship,Wales,False
1912-03-16,Ireland,Scotland,1,4,British Championship,Ireland,False
1912-03-16,England,Netherlands,4,0,Friendly,England,False
1912-03-17,Italy,France,3,4,Friendly,Italy,False
1912-03-23,Scotland,England,1,1,British Championship,Scotland,False
1912-03-24,Netherlands,Germany,5,5,Friendly,Netherlands,False
1912-04-08,Belgium,England,1,2,Friendly,Belgium,False
1912-04-13,Wales,Ireland,2,3,British Championship,Wales,False
1912-04-14,Hungary,Germany,4,4,Friendly,Hungary,False
1912-04-28,Netherlands,Belgium,4,3,Friendly,Netherlands,False
1912-05-05,Austria,Hungary,1,1,Friendly,Austria,False
1912-05-05,Switzerland,Germany,1,2,Friendly,Switzerland,False
1912-06-16,Norway,Sweden,1,2,Friendly,Norway,False
1912-06-20,Sweden,Hungary,2,2,Friendly,Sweden,False
1912-06-23,Norway,Hungary,0,6,Friendly,Norway,False
1912-06-27,Sweden,Finland,7,1,Friendly,Sweden,False
1912-06-29,Austria,Germany,5,1,Olympic Games,Sweden,True
1912-06-29,Sweden,Netherlands,3,4,Olympic Games,Sweden,False
1912-06-29,Finland,Italy,3,2,Olympic Games,Sweden,True
1912-06-30,England,Hungary,7,0,Olympic Games,Sweden,True
1912-06-30,Netherlands,Austria,3,1,Olympic Games,Sweden,True
1912-06-30,Denmark,Norway,7,0,Olympic Games,Sweden,True
1912-06-30,Finland,Russia,2,1,Olympic Games,Sweden,True
1912-07-01,Austria,Norway,1,0,Olympic Games,Sweden,True
1912-07-01,Germany,Russia,16,0,Olympic Games,Sweden,True
1912-07-01,Sweden,Italy,0,1,Olympic Games,Sweden,False
1912-07-02,England,Finland,4,0,Olympic Games,Sweden,True
1912-07-02,Denmark,Netherlands,4,1,Olympic Games,Sweden,True
1912-07-03,Austria,Italy,5,1,Olympic Games,Sweden,True
1912-07-03,Hungary,Germany,3,1,Olympic Games,Sweden,True
1912-07-04,England,Denmark,4,2,Olympic Games,Sweden,True
1912-07-04,Netherlands,Finland,9,0,Olympic Games,Sweden,True
1912-07-05,Hungary,Austria,3,0,Olympic Games,Sweden,True
1912-07-05,Norway,Russia,2,1,Friendly,Sweden,True
1912-07-12,Russia,Hungary,0,9,Friendly,Russia,False
1912-07-14,Russia,Hungary,0,12,Friendly,Russia,False
1912-08-15,Uruguay,Argentina,2,0,Lipton Cup,Uruguay,False
1912-08-25,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Uruguay,False
1912-09-22,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Argentina,False
1912-10-06,Argentina,Uruguay,3,3,Newton Cup,Argentina,False
1912-10-06,Denmark,Germany,3,1,Friendly,Denmark,False
1912-11-03,Hungary,Austria,4,0,Friendly,Hungary,False
1912-11-03,Sweden,Norway,4,2,Friendly,Sweden,False
1912-11-09,England,Belgium,4,0,Friendly,England,False
1912-11-17,Germany,Netherlands,2,3,Friendly,Germany,False
1912-12-01,Uruguay,Argentina,1,3,Montevideo Cup,Uruguay,False
1912-12-22,Italy,Austria,1,3,Friendly,Italy,False
1913-01-12,France,Italy,1,0,Friendly,France,False
1913-01-18,Ireland,Wales,0,1,British Championship,Ireland,False
1913-02-04,Philippines,China,2,1,Far Eastern Games,Philippines,False
1913-02-15,Ireland,England,2,1,British Championship,Ireland,False
1913-02-16,Belgium,France,3,0,Friendly,Belgium,False
1913-02-27,France,England,1,4,Friendly,France,False
1913-03-03,Wales,Scotland,0,0,British Championship,Wales,False
1913-03-09,Belgium,Netherlands,3,3,Friendly,Belgium,False
1913-03-09,Switzerland,France,1,4,Friendly,Switzerland,False
1913-03-15,Ireland,Scotland,1,2,British Championship,Ireland,False
1913-03-17,England,Wales,4,3,British Championship,England,False
1913-03-21,Germany,England,0,3,Friendly,Germany,False
1913-03-24,Netherlands,England,2,1,Friendly,Netherlands,False
1913-04-05,England,Scotland,1,0,British Championship,England,False
1913-04-20,Netherlands,Belgium,2,4,Friendly,Netherlands,False
1913-04-20,France,Luxembourg,8,0,Friendly,France,False
1913-04-27,Argentina,Uruguay,0,0,Friendly,Argentina,False
1913-04-27,Uruguay,Argentina,4,0,Friendly,Uruguay,False
1913-04-27,Austria,Hungary,1,4,Friendly,Austria,False
1913-05-01,Italy,Belgium,1,0,Friendly,Italy,False
1913-05-04,Switzerland,Belgium,1,2,Friendly,Switzerland,False
1913-05-04,Russia,Sweden,1,4,Friendly,Russia,False
1913-05-18,Hungary,Sweden,2,0,Friendly,Hungary,False
1913-05-18,Germany,Switzerland,1,2,Friendly,Germany,False
1913-05-25,Denmark,Sweden,8,0,Friendly,Denmark,False
1913-06-08,Sweden,Norway,9,0,Friendly,Sweden,False
1913-06-15,Argentina,Uruguay,1,1,Friendly tournament,Argentina,False
1913-06-15,Austria,Italy,2,0,Friendly,Austria,False
1913-07-09,Argentina,Uruguay,2,1,Friendly tournament,Argentina,False
1913-07-13,Argentina,Uruguay,3,3,Friendly,Argentina,False
1913-07-13,Uruguay,Argentina,5,4,Friendly,Uruguay,False
1913-08-15,Argentina,Uruguay,4,0,Lipton Cup,Argentina,False
1913-08-31,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Argentina,False
1913-09-14,Russia,Norway,1,1,Friendly,Russia,False
1913-09-21,Chile,Argentina,0,2,Friendly,Chile,False
1913-09-28,Argentina,Uruguay,4,0,Copa Circulo de la Prensa,Argentina,False
1913-10-05,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Uruguay,False
1913-10-05,Sweden,Denmark,0,10,Friendly,Sweden,False
1913-10-26,Uruguay,Argentina,1,0,Newton Cup,Uruguay,False
1913-10-26,Hungary,Austria,4,3,Friendly,Hungary,False
1913-10-26,Germany,Denmark,1,4,Friendly,Germany,False
1913-10-26,Norway,Sweden,1,1,Friendly,Norway,False
